模型,MAE均值,MAE标准差,RMSE均值,RMSE标准差,MAPE均值(%),MAPE标准差,R²均值,R²标准差,推理时间(秒),推理时间标准差,参数量(K)
LSTM,3.45,0.08,4.78,0.12,12.1,0.3,0.845,0.005,4.2,0.3,520
GCN,2.89,0.06,4.12,0.10,10.7,0.2,0.867,0.004,5.8,0.4,680
STGCN,2.34,0.05,3.56,0.08,9.2,0.2,0.891,0.003,6.1,0.3,1100
T-GCN,2.41,0.07,3.62,0.09,9.5,0.2,0.885,0.004,5.5,0.3,890
GCNLSTMHybrid,2.31,0.04,3.45,0.07,8.7,0.1,0.923,0.002,1.37,0.15,117
